Imatest,2020.2.0, , Checkerboard_a batch

Width & Height (pxl), 1024, 564
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 504  286  528  324 ; 38  26  62  62 ; 975  26  999  64 ; 33  493  57  531 ; 977  499  1001  537 ; 
Regions,5
Center,1
Part way,0
Corner,4

Secondary_rdout_1, MTF30.
Secondary_rdout_2, .
TV Distortion %,   -0.71,
Field of View (FoV) in cm and degrees (if lens to chart distance has been entered)
Diagonal FoV cm,    0.00,
Horizontal FoV cm,    0.00,
Vertical FoV cm,    0.00,

Date, 26-Oct-2020 16:40:18,
File, checkerboard_example.jpg,
Camera, 
Lens, 
ISO speed, 
Focal length,  
Shutter speed,  
Aperture,  

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.5383
R1090 (pxl) Mean Ctr,  1.3821
CA (pxl) Mean Ctr,  0.0000
MTF50 (LW/PH) Mean Ctr,    607.2
R1090 (/PH) Mean Ctr,    408.1
Peak MTF Mean Ctr,   1.000
MTF50P (Cy/Pxl) Mean Ctr,  0.5383
MTF50P (LW/PH) Mean Ctr,    607.2
MTF20 (Cy/Pxl) Mean Ctr,  1.0778
MTF20 (LW/PH) Mean Ctr,   1215.8
LSF PW50 (pxl) Mean Ctr,  0.8198
CA (area %) Mean Ctr,      NaN
CA (crossing %) Mean Ctr,      NaN
CA (R-G %) Mean Ctr,  0.00000
CA (B-G %) Mean Ctr,  0.00000
MTF50C (Cy/Pxl) Mean Ctr,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.3945
MTF30. Mean Ctr,     0.98832
Shannon capacity Mean Ctr,  0.00

MTF50 (Cy/Pxl) Mean Pt Wy,  0.0000
R1090 (pxl) Mean Pt Wy,  0.0000
CA (pxl) Mean Pt Wy,  0.0000
MTF50 (LW/PH) Mean Pt Wy,      0.0
R1090 (/PH) Mean Pt Wy,      0.0
Peak MTF Mean Pt Wy,   0.000
MTF50P (Cy/Pxl) Mean Pt Wy,  0.0000
MTF50P (LW/PH) Mean Pt Wy,      0.0
MTF20 (Cy/Pxl) Mean Pt Wy,  0.0000
MTF20 (LW/PH) Mean Pt Wy,      0.0
LSF PW50 (pxl) Mean Pt Wy,  0.0000
CA (area %) Mean Pt Wy,  0.00000
CA (crossing %) Mean Pt Wy,  0.00000
CA (R-G %) Mean Pt Wy,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,  0.0000
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.0000
MTF30. Mean Pt Wy,     0.00000
Shannon capacity Mean Pt Wy,  0.00

MTF50 (Cy/Pxl) Min Pt Wy,  0.0000
R1090 (pxl) Max Pt Wy,  0.0000
CA (pxl) Max Pt Wy,  0.0000
MTF50 (LW/PH) Min Pt Wy,      0.0
R1090 (/PH) Max Pt Wy,      0.0
Peak MTF Max Pt Wy,   0.000
MTF50P (Cy/Pxl) Min Pt Wy,  0.0000
MTF50P (LW/PH) Min Pt Wy,      0.0
MTF20 (Cy/Pxl) Min Pt Wy,  0.0000
MTF20 (LW/PH) Min Pt Wy,      0.0
LSF PW50 (pxl) Max Pt Wy,  0.0000
CA (area %) Max Pt Wy,  0.00000
CA (crossing %) Max Pt Wy,  0.00000
