Imatest,2020.2.0, , CPIQ Dot Chart Analysis
File,dotpattern_example.png
Run date,23-Oct-2020 17:30:49,,Build 2020-09-30

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 94.570564, degrees,
VFOV, 82.102242, degrees,
DFOV, 108.975172, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 1.144420
CPIQ Quality Loss, 0.633132
Maximum LCA in Pixels, 1.430526
Number of Dots, 330

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
Red - Green, 0.207908, -0.295842, 1.081365, -0.009188
Blue - Green, -0.284362, 0.445215, -1.773284, 0.017157

Radial Polynomial Coefficients (radius in pixels), r^3, r^2, r^1, r^0
Red - Green, 0.000000, -0.000000, 0.001360, -0.009188
Blue - Green, -0.000000, 0.000001, -0.002231, 0.017157

Radial Distances (radius in pixels), Red, Green, Blue
, 611.556138, 610.813955, 609.610716
, 603.746582, 603.013701, 601.822288
, 601.117621, 600.388306, 599.203411
, 603.746491, 603.013701, 601.822288
, 611.556139, 610.813955, 609.610716
, 641.858185, 641.078701, 639.810823
, 624.359349, 623.602073, 622.368092
, 624.359365, 623.602073, 622.368092
, 641.858185, 641.078701, 639.810823
, 689.415861, 688.574320, 687.200519
, 663.674801, 662.867951, 661.550834
, 663.675044, 662.867951, 661.550834
, 689.415861, 688.574320, 687.200519
, 718.740198, 717.855886, 716.415850
, 718.740198, 717.855886, 716.415850
, 548.564590, 547.901182, 546.820937
, 545.653867, 544.992519, 543.917662
, 548.564591, 547.901182, 546.820937
, 571.302444, 570.611186, 569.486522
, 557.195290, 556.523360, 555.425753
, 557.195290, 556.523360, 555.425753
, 571.302444, 570.611186, 569.486522
, 590.420430, 589.707038, 588.543335
, 590.420430, 589.707038, 588.543335
, 641.820584, 641.043733, 639.772781
, 614.095781, 613.353949, 612.141908
, 614.096054, 613.353949, 612.141908
, 641.820584, 641.043733, 639.772781
, 673.108881, 672.290343, 670.952007
, 673.108852, 672.290343, 670.952007
, 502.905943, 502.296894, 501.300613
