Imatest,2020.2.0,,Random
File,random_example.jpg
Run date,21-Oct-2020 12:45:27,,Build 2020-09-30

Image pixels (WxH),1680,1260
Crop,1214,1214
L R T B, 234,1447,24,1237
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,NaN Cy/Pxl,Secondary readout
MTF20,NaN Cy/Pxl,Secondary readout 2
MTF20,NaN Cy/Pxl,Secondary readout 3

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.0020,   0.0020, 0.8006, 0.8006, 0.0000000, 1.0000000, 1.0000000,, 0.8006
 0.0098,   0.0098, 1.0000, 1.0000, 0.0000000, 0.3478162, 0.3478162,, 1.0000
 0.0177,   0.0177, 0.9898, 0.9898, 0.0000000, 0.1239067, 0.1239067,, 0.9898
 0.0256,   0.0256, 0.9751, 0.9751, 0.0000000, 0.0615698, 0.0615698,, 0.9751
 0.0335,   0.0335, 0.9375, 0.9375, 0.0000000, 0.0343982, 0.0343982,, 0.9375
 0.0413,   0.0413, 0.9345, 0.9345, 0.0000000, 0.0228837, 0.0228837,, 0.9345
 0.0492,   0.0492, 0.9623, 0.9623, 0.0000000, 0.0173873, 0.0173873,, 0.9623
 0.0571,   0.0571, 0.9260, 0.9260, 0.0000000, 0.0120959, 0.0120959,, 0.9260
 0.0649,   0.0649, 0.9348, 0.9348, 0.0000000, 0.0095995, 0.0095995,, 0.9348
 0.0728,   0.0728, 0.9286, 0.9286, 0.0000000, 0.0075848, 0.0075848,, 0.9286
 0.0807,   0.0807, 0.9168, 0.9168, 0.0000000, 0.0060525, 0.0060525,, 0.9168
 0.0886,   0.0886, 0.9141, 0.9141, 0.0000000, 0.0050151, 0.0050151,, 0.9141
 0.0964,   0.0964, 0.9268, 0.9268, 0.0000000, 0.0043646, 0.0043646,, 0.9268
 0.1043,   0.1043, 0.9026, 0.9026, 0.0000000, 0.0035498, 0.0035498,, 0.9026
 0.1122,   0.1122, 0.9023, 0.9023, 0.0000000, 0.0030759, 0.0030759,, 0.9023
