Imatest,2020.2.0, , sfrplus_a batch

Width & Height (pxl), 3888, 2592
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 1716  1174  1878  1425 ; 45  1196  207  1444 ; 3681  1161  3843  1407 ; 1711  179  1873  429 ; 1722  2175  1884  2425 ; 
Regions,5
Center,1
Part way,2
Corner,2

Secondary_rdout_1, MTF30.
Secondary_rdout_2, .
TV Distortion %,   -1.29,
Field of View (FoV) in cm and degrees (if lens to chart distance has been entered)
Diagonal FoV cm,    0.00,
Horizontal FoV cm,    0.00,
Vertical FoV cm,    0.00,

Date, 21-Oct-2020 14:24:08,
File, sfrplus_example.jpg,
Camera,  Canon EOS 40D
Lens,  24.0 - 70.0 mm 
ISO speed,  100
Focal length,  24.0 mm
Shutter speed, 0.6
Aperture, 8.0

Plot title

Summary results for creating plots

MTF50 (Cy/Pxl) Mean Ctr,  0.3377
R1090 (pxl) Mean Ctr,  1.4604
CA (pxl) Mean Ctr,  0.0277
MTF50 (LW/PH) Mean Ctr,   1750.4
R1090 (/PH) Mean Ctr,   1774.9
Peak MTF Mean Ctr,   1.038
MTF50P (Cy/Pxl) Mean Ctr,  0.3336
MTF50P (LW/PH) Mean Ctr,   1729.6
MTF20 (Cy/Pxl) Mean Ctr,  0.4093
MTF20 (LW/PH) Mean Ctr,   2121.6
LSF PW50 (pxl) Mean Ctr,  1.7371
CA (area %) Mean Ctr,      NaN
CA (crossing %) Mean Ctr,      NaN
CA (R-G %) Mean Ctr, -0.01989
CA (B-G %) Mean Ctr,  0.03620
MTF50C (Cy/Pxl) Mean Ctr,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Ctr,  0.3307
MTF30. Mean Ctr,     0.38245
Shannon capacity Mean Ctr,  0.00

MTF50 (Cy/Pxl) Mean Pt Wy,  0.3517
R1090 (pxl) Mean Pt Wy,  1.3587
CA (pxl) Mean Pt Wy,  0.0810
MTF50 (LW/PH) Mean Pt Wy,   1823.1
R1090 (/PH) Mean Pt Wy,   1907.8
Peak MTF Mean Pt Wy,   1.055
MTF50P (Cy/Pxl) Mean Pt Wy,  0.3455
MTF50P (LW/PH) Mean Pt Wy,   1791.1
MTF20 (Cy/Pxl) Mean Pt Wy,  0.4299
MTF20 (LW/PH) Mean Pt Wy,   2228.6
LSF PW50 (pxl) Mean Pt Wy,  1.6884
CA (area %) Mean Pt Wy,      NaN
CA (crossing %) Mean Pt Wy,      NaN
CA (R-G %) Mean Pt Wy,  0.00000
CA (B-G %) Mean Pt Wy,  0.00000
MTF50C (Cy/Pxl) Mean Pt Wy,     NaN
MTF Area PkNorm (Cy/Pxl) Mean Pt Wy,  0.3420
MTF30. Mean Pt Wy,     0.40020
Shannon capacity Mean Pt Wy,  0.00

MTF50 (Cy/Pxl) Min Pt Wy,  0.3509
R1090 (pxl) Max Pt Wy,  1.3687
CA (pxl) Max Pt Wy,  0.0918
MTF50 (LW/PH) Min Pt Wy,   1819.3
R1090 (/PH) Max Pt Wy,   1921.9
Peak MTF Max Pt Wy,   1.063
MTF50P (Cy/Pxl) Min Pt Wy,  0.3440
MTF50P (LW/PH) Min Pt Wy,   1783.4
MTF20 (Cy/Pxl) Min Pt Wy,  0.4282
MTF20 (LW/PH) Min Pt Wy,   2219.6
LSF PW50 (pxl) Max Pt Wy,  1.6991
