Imatest,2020.2.0,,Star
File,star_example.jpg
Run date,30-Oct-2020 19:53:19,,Build 2020-09-30

Image pixels (WxH),3888,2592
Crop,783,719
L R T B, 2305,3087,922,1640
pixels/in,0
pixels/mm,0
um/pixel,0
Color channel, Y
Gamma, 0.5, (input), used
Gamma, 0.453, (chart calc.), not used
Max detected f (c/p), 0.628
Segments to analyze, 8
Star type, Full circle
MTF30,0.351 Cy/Pxl,Secondary readout

MTF unsmoothed for 64 radii
N,Radius, f (C/P), Mean, Seg 1, Seg 2, Seg 3, Seg 4, Seg 5, Seg 6, Seg 7, Seg 8
1, 327.0490,  0.0701,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000
2, 315.8586,  0.0726,  0.9952,  0.9962,  0.9937,  0.9920,  0.9969,  0.9939,  0.9961,  0.9934,  0.9991
3, 305.0510,  0.0751,  0.9917,  0.9934,  0.9908,  0.9858,  0.9953,  0.9885,  0.9931,  0.9895,  0.9976
4, 294.6133,  0.0778,  0.9908,  0.9940,  0.9903,  0.9872,  0.9957,  0.9903,  0.9904,  0.9830,  0.9950
5, 284.5327,  0.0805,  0.9878,  0.9925,  0.9893,  0.9799,  0.9926,  0.9850,  0.9895,  0.9812,  0.9925
6, 274.7970,  0.0834,  0.9885,  0.9943,  0.9852,  0.9859,  0.9918,  0.9894,  0.9867,  0.9815,  0.9933
7, 265.3944,  0.0864,  0.9844,  0.9909,  0.9762,  0.9775,  0.9929,  0.9839,  0.9817,  0.9763,  0.9958
8, 256.3136,  0.0894,  0.9833,  0.9904,  0.9777,  0.9758,  0.9933,  0.9803,  0.9796,  0.9778,  0.9913
9, 247.5435,  0.0926,  0.9821,  0.9912,  0.9779,  0.9723,  0.9934,  0.9801,  0.9774,  0.9725,  0.9919
10, 239.0734,  0.0959,  0.9811,  0.9910,  0.9668,  0.9750,  0.9916,  0.9799,  0.9718,  0.9774,  0.9952
11, 230.8932,  0.0993,  0.9813,  0.9924,  0.9705,  0.9767,  0.9882,  0.9836,  0.9732,  0.9777,  0.9881
12, 222.9929,  0.1028,  0.9798,  0.9937,  0.9604,  0.9809,  0.9844,  0.9870,  0.9620,  0.9804,  0.9890
13, 215.3628,  0.1064,  0.9754,  0.9914,  0.9565,  0.9747,  0.9819,  0.9752,  0.9607,  0.9786,  0.9847
14, 207.9939,  0.1102,  0.9747,  0.9936,  0.9418,  0.9797,  0.9791,  0.9768,  0.9486,  0.9860,  0.9921
15, 200.8771,  0.1141,  0.9756,  0.9943,  0.9420,  0.9891,  0.9799,  0.9810,  0.9462,  0.9879,  0.9847
16, 194.0038,  0.1181,  0.9742,  0.9945,  0.9380,  0.9869,  0.9782,  0.9774,  0.9414,  0.9929,  0.9847
17, 187.3657,  0.1223,  0.9742,  1.0001,  0.9243,  0.9993,  0.9715,  0.9854,  0.9284,  0.9981,  0.9866
18, 180.9547,  0.1267,  0.9712,  0.9968,  0.9213,  0.9963,  0.9693,  0.9779,  0.9264,  0.9959,  0.9866
19, 174.7631,  0.1311,  0.9669,  0.9937,  0.9159,  0.9947,  0.9642,  0.9703,  0.9239,  0.9956,  0.9781
20, 168.7833,  0.1358,  0.9670,  0.9941,  0.9141,  1.0012,  0.9671,  0.9737,  0.9146,  1.0002,  0.9718
21, 163.0082,  0.1406,  0.9688,  0.9964,  0.9032,  1.0111,  0.9679,  0.9826,  0.9130,  1.0059,  0.9706
22, 157.4306,  0.1456,  0.9617,  0.9928,  0.9055,  0.9906,  0.9632,  0.9639,  0.9082,  1.0011,  0.9701
23, 152.0439,  0.1507,  0.9561,  0.9868,  0.8861,  0.9915,  0.9568,  0.9589,  0.8941,  1.0065,  0.9698
24, 146.8415,  0.1561,  0.9563,  0.9849,  0.8832,  1.0060,  0.9551,  0.9673,  0.8913,  0.9985,  0.9648
25, 141.8171,  0.1616,  0.9491,  0.9793,  0.8745,  0.9969,  0.9480,  0.9567,  0.8757,  0.9963,  0.9674
26, 136.9647,  0.1673,  0.9410,  0.9737,  0.8689,  0.9844,  0.9391,  0.9425,  0.8736,  0.9930,  0.9548
27, 132.2782,  0.1733,  0.9360,  0.9651,  0.8519,  0.9966,  0.9252,  0.9462,  0.8559,  0.9882,  0.9611
28, 127.7522,  0.1794,  0.9295,  0.9549,  0.8521,  0.9818,  0.9257,  0.9320,  0.8506,  0.9892,  0.9519
29, 123.3809,  0.1858,  0.9241,  0.9561,  0.8397,  0.9845,  0.9160,  0.9299,  0.8407,  0.9811,  0.9471
30, 119.1593,  0.1923,  0.9165,  0.9533,  0.8367,  0.9723,  0.9081,  0.9112,  0.8373,  0.9787,  0.9376
31, 115.0821,  0.1991,  0.9059,  0.9409,  0.8140,  0.9698,  0.8933,  0.9024,  0.8192,  0.9776,  0.9337
32, 111.1444,  0.2062,  0.9013,  0.9290,  0.8226,  0.9709,  0.8901,  0.8956,  0.8224,  0.9689,  0.9143
33, 107.3414,  0.2135,  0.8891,  0.9275,  0.7912,  0.9629,  0.8746,  0.8918,  0.7997,  0.9570,  0.9114
34, 103.6686,  0.2211,  0.8701,  0.9121,  0.7583,  0.9458,  0.8526,  0.8806,  0.7634,  0.9432,  0.9084
35, 100.1214,  0.2289,  0.8569,  0.8956,  0.7595,  0.9271,  0.8504,  0.8572,  0.7599,  0.9383,  0.8705
