Imatest,2020.2.0, , Uniformity
File,uniformity_example.jpg
Run date,21-Oct-2020 19:24:27,,Build 2020-09-30

Color channel,Y (luminance),4
Bit depth and max,24-bit color  max=149  149  147 of 255
Maximum pixel level/max,0.522
Corner & side regions,32x32 pxls,6,6
Side & corner locations,0, % of PH; outer boundary to image edge
Corner levels/max (UL LL UR LR),0.362,0.338,0.398,0.355
Side levels/max (L R),0.411,0.413
Corner levels (%) (UL LL UR LR),69.5,64.8,76.3,68.1
Side levels (%) (L R),78.8,79.3
Worst corner level/max,0.338
Mean  corner level/max,0.363
Worst corner level (%),64.8
Mean  corner level (%),69.7
Min LRTB sides ctr,0.3382
Max LRTB sides ctr,0.5176
Nonuniformity LRTB sides ctr (%),34.65
Uniformity LRTB sides ctr (%),65.35
Skype relative illumination,1.542, 100/Worst corner level (%)
Mean pixel level RGBY,    0.00,    0.00,    0.00,    0.00,,(Speedup must be off)
Pxl std deviation RGBY,  0.00,  0.00,  0.00,  0.00,,(Speedup must be off)
Gamma,0.5
Worst rel. corner level (f-stops),-1.25
Mean  rel. corner level (f-stops),-1.05
PW Pro Lens Focal Length (mm),23
PW Pro Film Size (mm), 36
Fourth order fit: y = c(1)*r^5 + C(2)*r^3 + ... + c(5)  where r is normalized to center-to-corner; for radial symmetry about center.
R,-0.997, 1.998,-1.353, 0.271, 0.483
G,-0.702, 1.314,-0.885, 0.119, 0.519
B,-0.636, 1.231,-0.831, 0.059, 0.540
Crop borders (L R T B), 0, 0, 0, 0
Image pixels (W,H,total), 3264, 2448, 7990272

Hot/dead pixel analysis: A maximum of 100 each will be displayed.
H/D threshold type, Relative %
Hot threshold, 8, Any channel
Hot pixels, total, 12555, fraction, 0.0015713
i, Row, Column, Pixel,,(Rows numbered from top to bottom.)
1, 72, 1, 103
2, 256, 1, 106
3, 758, 1, 110
4, 864, 1, 111
5, 1056, 1, 111
6, 1064, 1, 112
7, 1072, 1, 111
8, 1104, 1, 112
9, 1232, 1, 110
10, 1256, 1, 113
11, 1334, 1, 112
