Imatest,2020.2.0,,Wedge
File,wedge_example.jpg
Run date,23-Oct-2020 17:31:01,,Build 2020-09-30

Image pixels (WxH),1000,592
Crop,153,49
L R T B, 408,456,115,267
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,NaN Cy/Pxl,Secondary readout

Table of MTF and Moire (mean(|R-B|))
f (c/p),f (C/P),MTF smooth,MTF orig,Bars/max smooth,Bars/max,Moire
 0.1081,   0.1081, 0.9888, 0.9382, 1.0000, 1.0000, 0.0075
 0.1108,   0.1108, 0.9886, 0.9698, 1.0000, 1.0000, 0.0076
 0.1135,   0.1135, 0.9907, 0.9659, 1.0000, 1.0000, 0.0078
 0.1162,   0.1162, 0.9949, 1.0018, 1.0000, 1.0000, 0.0083
 0.1189,   0.1189, 1.0000, 0.9814, 1.0000, 1.0000, 0.0093
 0.1217,   0.1217, 1.0072, 1.0332, 1.0000, 1.0000, 0.0104
 0.1244,   0.1244, 1.0141, 1.0079, 1.0000, 1.0000, 0.0111
 0.1272,   0.1272, 1.0211, 1.0279, 1.0000, 1.0000, 0.0113
 0.1299,   0.1299, 1.0264, 1.0431, 1.0000, 1.0000, 0.0107
 0.1327,   0.1327, 1.0305, 1.0250, 1.0000, 1.0000, 0.0096
 0.1354,   0.1354, 1.0340, 1.0368, 1.0000, 1.0000, 0.0090
 0.1382,   0.1382, 1.0365, 1.0562, 1.0000, 1.0000, 0.0089
 0.1410,   0.1410, 1.0372, 1.0417, 1.0000, 1.0000, 0.0094
 0.1437,   0.1437, 1.0384, 1.0100, 1.0000, 1.0000, 0.0104
 0.1465,   0.1465, 1.0405, 1.0329, 1.0000, 1.0000, 0.0111
 0.1493,   0.1493, 1.0427, 1.0621, 1.0000, 1.0000, 0.0113
 0.1521,   0.1521, 1.0438, 1.0493, 1.0000, 1.0000, 0.0112
 0.1549,   0.1549, 1.0441, 1.0267, 1.0000, 1.0000, 0.0108
 0.1577,   0.1577, 1.0458, 1.0443, 1.0000, 1.0000, 0.0106
 0.1605,   0.1605, 1.0482, 1.0711, 1.0000, 1.0000, 0.0108
 0.1633,   0.1633, 1.0493, 1.0564, 1.0000, 1.0000, 0.0112
 0.1661,   0.1661, 1.0487, 1.0462, 1.0000, 1.0000, 0.0115
 0.1690,   0.1690, 1.0471, 1.0249, 1.0000, 1.0000, 0.0117
 0.1718,   0.1718, 1.0456, 1.0340, 1.0000, 1.0000, 0.0117
 0.1746,   0.1746, 1.0442, 1.0839, 1.0000, 1.0000, 0.0118
 0.1775,   0.1775, 1.0412, 1.0656, 1.0000, 1.0000, 0.0121
 0.1803,   0.1803, 1.0378, 1.0385, 1.0000, 1.0000, 0.0125
 0.1832,   0.1832, 1.0355, 1.0233, 1.0000, 1.0000, 0.0130
 0.1860,   0.1860, 1.0338, 1.0072, 1.0000, 1.0000, 0.0130
 0.1889,   0.1889, 1.0327, 0.9931, 1.0000, 1.0000, 0.0128
 0.1917,   0.1917, 1.0316, 1.0209, 1.0000, 1.0000, 0.0124
 0.1946,   0.1946, 1.0309, 1.0672, 1.0000, 1.0000, 0.0121
 0.1975,   0.1975, 1.0284, 1.0663, 1.0000, 1.0000, 0.0117
 0.2004,   0.2004, 1.0244, 1.0548, 1.0000, 1.0000, 0.0114
 0.2032,   0.2032, 1.0191, 1.0239, 1.0000, 1.0000, 0.0110
 0.2061,   0.2061, 1.0131, 0.9966, 1.0000, 1.0000, 0.0106
 0.2090,   0.2090, 1.0073, 0.9634, 1.0000, 1.0000, 0.0103
 0.2119,   0.2119, 1.0023, 1.0286, 1.0000, 1.0000, 0.0102
 0.2148,   0.2148, 0.9956, 0.9561, 1.0000, 1.0000, 0.0102
