File ,Date/time ,PH,ROI Ch,H/V,R10-90,R10-90C,Over-,Over-,MTF50,MTF50P,MTF,Camera,Lens,FL,f-stop,Location,ISO,Misc.,Gamma, ,Chr Aber,Secondary,,Secondary,,EdgeRough,Shutter,Edge,Dark,Light,Under-
,,,,,/PH,/PH,shoot %,sharpng %,LW/PH,LW/PH,Nyq,,,(mm),,,speed,settings,, ,area pxls,Readout 1,,Readout 2,,Pxls,Speed,Angle,region,region,shoot %
sfr_example.jpg,2020-10-21 12:19:41, 2592,1 Y,Horizontal, 1639,  NaN, 14.5,  1.4, 1709, 1701,0.066,,, , ,42% top-R of ctr, ,,0.500,  NaN, 0.86,MTF30,0.37359,,, 0.036, ,  6.392, 0.2493, 0.8183,  0.2
checkerboard_example.jpg,2020-10-21 12:19:24,  564,1 Y,Horizontal,  408,  NaN,  0.4,-12.0,  607,  607,0.522,,, , ,4.2% below ctr  0_0_V,,,0.500,  NaN, 0.00,MTF30,0.98832,,,, ,  0.000, 0.1114, 0.9486,  0.1
checkerboard_example.jpg,2020-10-21 12:19:24,  564,2 Y,Horizontal,  223,  NaN,  0.4,-36.2,  230,  230,0.069,,, , ,89% top-L of ctr  -9_-5_V,,,0.500,  NaN, 0.00,MTF30,0.27693,,,, ,  0.000, 0.0106, 0.2751,  0.1
checkerboard_example.jpg,2020-10-21 12:19:24,  564,3 Y,Horizontal,  191,  NaN,  0.1,-23.5,  197,  197,0.025,,, , ,91% top-R of ctr  9_-5_V,,,0.500,  NaN, 0.00,MTF30,0.23277,,,, ,  0.418, 0.0094, 0.2485,  0.1
checkerboard_example.jpg,2020-10-21 12:19:24,  564,4 Y,Horizontal,  306,  NaN,  7.9,-24.1,  359,  359,0.354,,, , ,89% below-L of ctr  -9_4_V,,,0.500,  NaN, 0.00,MTF30,0.39484,,,, ,  0.000, 0.0105, 0.2723,  0.0
checkerboard_example.jpg,2020-10-21 12:19:24,  564,5 Y,Horizontal,  235,  NaN,  7.9,-31.0,  222,  222,0.056,,, , ,91% below-R of ctr  9_4_V,,,0.500,  NaN, 0.00,MTF30,0.27133,,,, , -0.290, 0.0092, 0.2699,  0.0
esfriso_example.jpg,2020-10-21 12:19:52, 2752,1 Y,Horizontal, 1361,  NaN,  2.0,-25.7, 1480, 1479,0.134,,, ,,6.9% left of ctr  0_0_L,,,0.500,  NaN, 0.10,MTF30,0.37818,,, 0.092,,  4.920, 0.3138, 0.4983,  0.9
esfriso_example.jpg,2020-10-21 12:19:52, 2752,2 Y,Horizontal, 1219,  NaN,  2.0,-31.8, 1440, 1440,0.055,,, ,,7.1% right of ctr  0_0_R,,,0.500,  NaN, 0.30,MTF30,0.35435,,, 0.089,,  5.003, 0.3152, 0.5006,  1.0
sfrplus_example.jpg,2020-10-21 12:19:59, 2592,1 Y,Horizontal, 1775,  NaN, 13.3,  3.7, 1750, 1730,0.023, Canon EOS 40D, 24.0 - 70.0 mm , 24.0 mm,8.0,6.3% left of ctr  0_0_L, 100,,0.500,  NaN, 0.03,MTF30,0.38245,,, 0.035,0.6, -5.432, 0.1906, 0.8116,  0.1
